Column27,x_coord,y_coord,heights1
STOW0550,135486.345,422975.79,2.75203061103821
STOW0551,134581.113,422453.278,2.69219779968262
STOW0552,134421.313,422271.146,1.59614229202271
STOW0553,132917.986,422328.159,1.80411171913147
STOW0555,132119.502,422822.312,0.770176768302917
STOW0556,191058.428,433424.84,8.85385036468506
STOW0537,154276.022,426594.95,4.03049993515015
STOW0538,153911.385,425982.78,4.22453594207764
STOW0539,146804.193,427053.412,3.31406211853027
STOW0540,141484.118,418677.213,1.7157256603241
STOW0541,138845.878,419402.985,1.68940711021423
STOW0542,138798.298,419516.016,1.32204210758209
STOW0543,137565.616,420891.916,1.50458598136902
STOW0545,136657.482,422954.83,
STOW0527,139138.842,424470.307,1.72660195827484
STOW0529,137896.014,424743.428,2.54688835144043
STOW0530,136285.134,424944.241,1.5046591758728
STOW0531,133904.332,426057.974,2.01540017127991
STOW0532,133426.1,425679.244,1.72138655185699
STOW0533,132800.548,424950.622,0.919320285320282
STOW0534,132017.386,424570.591,1.45989656448364
STOW0535,156965.152,431035.241,4.77810621261597
STOW0518,151052.735,424454.633,3.76901292800903
STOW0519,146577.416,425166.296,2.8751528263092
STOW0521,146149.105,425042.718,4.49478197097778
STOW0522,144257.022,424573.52,
